Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,21320.000000,21454.000000,21308.000000,21368.000000,21368.000000,106186
2017-06-27,21365.000000,21389.000000,21265.000000,21291.000000,21291.000000,117059
