,Date,Subjectivity,Objectivity,Positive,Negative,Neutral,Open,High,Low,Close,Volume,Adj Close,prediction,target
0,2020-06-30,85.71428571,14.28571429,14.28571429,71.42857143,14.28571429,25512.4296875,25905.380859375,25475.140625,25812.880859375,410780000,25812.880859375,1,1.0
1,2020-07-01,75.0,25.0,50.0,25.0,25.0,25879.380859375,26019.310546875,25744.189453125,25778.5390625,152719617,25778.5390625,1,
